Timestamp,T1_Unity_Send,T2_ROS_Recv,T3_Cmd_Send,T4_Motion_Start,T5_Target_Reached,Network_Delay_ms,Decision_Delay_ms,Command_Latency_ms,Robot_Response_ms,Motion_Time_ms,Motion_Execution_ms,True_End_to_End_ms,Q_Target_J1,Q_Target_J2,Q_Target_J3,Q_Target_J4,Q_Final_J1,Q_Final_J2,Q_Final_J3,Q_Final_J4,Final_Error_rad,Max_Joint_Error_rad,Velocity_at_Arrival_rad_s,Is_Valid_Arrival
1769695624.6326,0.0000,0.0000,1769695624.6132,0.0000,1769695624.6326,0.00,1769695624613.16,1769695624613.16,0.00,19.42,19.42,1769695624632.58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
1769695720.4335,1769695719.6005,1769695719.6022,1769695720.1351,1769695720.1536,1769695720.4335,1.69,532.98,534.67,18.42,279.98,298.40,833.07,-0.335541,0.497529,-0.402179,0.325116,-0.335541,0.497529,-0.402180,0.325116,0.000001,0.000001,0.000000,True
1769695791.4922,1769695790.5700,1769695790.5706,1769695790.9923,1769695791.0128,1769695791.4922,0.62,421.71,422.33,20.53,479.32,499.85,922.18,0.366475,0.340141,0.249306,-0.093576,0.366476,0.340140,0.249306,-0.093576,0.000001,0.000001,0.000000,True
1769695972.9738,1769695972.2721,1769695972.2742,1769695972.4930,1769695972.5121,1769695972.9738,2.12,218.77,220.89,19.10,461.71,480.80,701.70,0.344469,0.244535,-0.155064,0.199710,0.344469,0.244535,-0.155064,0.199709,0.000001,0.000001,0.000000,True
1769695979.3736,1769695978.6240,1769695978.6249,1769695978.6344,1769695978.6741,1769695979.3736,0.90,9.57,10.47,39.68,699.44,739.12,749.59,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.001889,True
1769695989.6528,1769695988.3722,1769695988.3751,1769695988.3962,1769695988.4138,1769695989.6528,2.87,21.11,23.97,17.62,1239.05,1256.67,1280.64,2.792525,0.000000,0.000000,0.000000,2.792525,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696006.0737,1769696001.7310,1769696001.7317,1769696001.7535,1769696001.7737,1769696006.0737,0.68,21.83,22.51,20.19,4299.95,4320.14,4342.65,-2.792525,0.000000,0.000000,0.000000,-2.792525,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696011.1940,1769696010.9127,1769696010.9152,1769696010.9325,1769696010.9530,1769696011.1940,2.45,17.28,19.73,20.57,240.96,261.53,281.26,0.575959,0.000000,0.000000,0.000000,0.575959,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696012.3520,1769696012.1717,1769696012.1720,1769696012.1722,1769696012.1931,1769696012.3520,0.34,0.24,0.58,20.87,158.90,179.77,180.35,0.558505,0.000000,0.000000,0.000000,0.558505,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.002257,True
1769696012.6322,1769696012.4118,1769696012.4131,1769696012.4326,1769696012.4523,1769696012.6322,1.28,19.52,20.79,19.66,179.93,199.59,220.38,0.541052,0.000000,0.000000,0.000000,0.541052,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696013.1741,1769696012.9715,1769696012.9719,1769696012.9722,1769696012.9931,1769696013.1741,0.45,0.22,0.67,20.90,181.06,201.95,202.63,0.558505,0.000000,0.000000,0.000000,0.558505,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696013.9321,1769696013.6529,1769696013.6545,1769696013.6728,1769696013.6931,1769696013.9321,1.61,18.29,19.90,20.29,239.07,259.37,279.26,0.610865,0.000000,0.000000,0.000000,0.610865,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696016.4724,1769696016.2544,1769696016.2549,1769696016.2743,1769696016.2933,1769696016.4724,0.46,19.40,19.86,19.05,179.04,198.10,217.95,0.034907,0.000000,0.000000,0.000000,0.034907,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696017.5534,1769696017.3512,1769696017.3519,1769696017.3521,1769696017.3731,1769696017.5534,0.70,0.22,0.92,20.99,180.28,201.26,202.19,0.017453,0.000000,0.000000,0.000000,0.017453,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696017.8520,1769696017.6349,1769696017.6353,1769696017.6539,1769696017.6724,1769696017.8520,0.38,18.63,19.01,18.44,179.62,198.06,217.07,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696027.9927,1769696026.7969,1769696026.8004,1769696026.8143,1769696026.8328,1769696027.9927,3.52,13.90,17.42,18.50,1159.85,1178.35,1195.77,0.000000,1.047198,0.000002,0.000000,0.000000,1.047198,-0.000000,0.000000,0.000002,0.000002,0.000000,True
1769696030.1923,1769696028.6331,1769696028.6338,1769696028.6533,1769696028.6721,1769696030.1923,0.65,19.49,20.14,18.82,1520.21,1539.03,1559.17,0.000000,-0.436331,0.000000,0.000000,0.000000,-0.436331,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696031.8124,1769696030.6511,1769696030.6514,1769696030.6530,1769696030.6730,1769696031.8124,0.34,1.55,1.89,20.04,1139.38,1159.41,1161.30,0.000000,0.383972,0.000000,0.000000,0.000000,0.383972,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696033.9756,1769696033.4934,1769696033.4938,1769696033.5142,1769696033.5321,1769696033.9756,0.40,20.35,20.75,17.87,443.55,461.42,482.16,0.000000,0.226893,0.000000,0.000000,0.000000,0.226893,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696034.4732,1769696034.0912,1769696034.0916,1769696034.1124,1769696034.1342,1769696034.4732,0.39,20.76,21.15,21.81,338.95,360.76,381.91,0.000000,0.174533,0.000000,0.000000,0.000000,0.174533,-0.000000,0.000000,0.000000,0.000000,0.000000,True
1769696035.0150,1769696034.7348,1769696034.7378,1769696034.7546,1769696034.7720,1769696035.0150,2.92,16.84,19.77,17.43,242.97,260.41,280.17,0.000000,0.139626,0.000000,0.000000,0.000000,0.139626,-0.000000,0.000000,0.000000,0.000000,0.001730,True
1769696036.5322,1769696036.1902,1769696036.1906,1769696036.2133,1769696036.2347,1769696036.5322,0.37,22.79,23.15,21.34,297.49,318.83,341.98,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.002188,True
