Timestamp,T1_Unity_Send,T2_ROS_Recv,T3_Cmd_Send,Network_Delay_ms,Decision_Delay_ms,Q_Current_J1,Q_Current_J2,Q_Current_J3,Q_Current_J4,Q_Target_J1,Q_Target_J2,Q_Target_J3,Q_Target_J4,Dist_to_Last,Send_Reason,Time_Since_Last_ms,Velocity_Mag,Robot_Vel_J1,Robot_Vel_J2,Robot_Vel_J3,Robot_Vel_J4
1769695624.6122,0.0000,0.0000,1769695624.6132,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Init,0.05,0.000000,0.000000,0.000000,0.000000,0.000000
1769695661.6135,1769695661.5998,1769695661.6008,1769695661.6136,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.005000,0.009999,0.014998,0.008000,0.014998,Proximity_Dist0.000,0.08,0.000000,0.000000,0.000000,0.000000,0.000000
1769695661.6921,1769695661.6811,1769695661.6815,1769695661.6922,0.00,0.00,0.003725,0.004999,0.005369,0.003999,0.024990,0.049917,0.074719,0.039957,0.069350,Proximity_Dist0.010,0.04,0.167282,0.064121,0.155770,0.167282,0.106802
1769695662.0128,1769695662.0006,1769695662.0013,1769695662.0139,0.00,0.00,0.024990,0.049545,0.067797,0.039958,0.104230,0.203880,0.294572,0.164857,0.226776,Proximity_Dist0.007,1.05,0.172395,0.000000,0.053862,0.172395,0.007730
1769695662.5721,1769695662.5599,1769695662.5602,1769695662.5722,0.00,0.00,0.104229,0.203881,0.286605,0.164857,0.235313,0.415249,0.497462,0.353059,0.211368,Proximity_Dist0.008,0.04,0.336330,0.000000,0.017944,0.336330,0.000000
1769695663.1321,1769695663.1220,1769695663.1241,1769695663.1323,0.00,0.00,0.235312,0.407285,0.491619,0.350445,0.348068,0.499763,0.369503,0.471578,0.122117,Proximity_Dist0.008,0.06,0.340714,0.000000,0.340714,0.299016,0.217941
1769695663.5741,1769695663.5603,1769695663.5652,1769695663.5742,0.00,0.00,0.346050,0.499763,0.376260,0.468253,0.418013,0.458719,0.085376,0.499956,0.290884,Proximity_Dist0.007,0.04,0.286724,0.180981,0.007636,0.286724,0.218319
1769695664.2352,1769695664.2000,1769695664.2017,1769695664.2353,0.00,0.00,0.418013,0.458720,0.090151,0.499957,0.483092,0.249131,-0.354616,0.432611,0.444767,Proximity_Dist0.005,0.04,0.241166,0.000000,0.000000,0.241166,0.000000
1769695665.0356,1769695665.0241,1769695665.0246,1769695665.0388,0.00,0.00,0.483093,0.249130,-0.349755,0.432611,0.494445,-0.146999,-0.436331,0.189906,0.396129,Proximity_Dist0.005,3.24,0.231573,0.000000,0.000000,0.231573,0.000000
1769695665.7938,1769695665.7799,1769695665.7835,1769695665.7940,0.00,0.00,0.494445,-0.140358,-0.436331,0.189906,0.431605,-0.435788,0.008407,-0.108338,0.444738,Proximity_Dist0.007,0.04,0.217386,0.000000,0.217386,0.000000,0.000000
